file_name,column_name,null_rate_pct,dtype,value_range
customers.csv,customer_id,0.0,str,4950 unique values
customers.csv,customer_name,0.0,str,5000 unique values
customers.csv,email,1.0,str,4950 unique values
products.csv,product_id,0.0,str,800 unique values
products.csv,category,0.0,str,4 unique values
products.csv,unit_price,0.0,float64,5.36 to 499.04
products.csv,active_flag,0.0,int64,0 to 1
orders_day1.json,order_id,0.0,str,20000 unique values
orders_day1.json,customer_id,0.0,str,4860 unique values
orders_day1.json,order_ts,0.0,str,20000 unique values
orders_day1.json,store_region,0.0,str,4 unique values
orders_day1.json,status,0.0,str,4 unique values
orders_day2.json,order_id,0.0,str,4000 unique values
orders_day2.json,customer_id,0.0,str,2754 unique values
orders_day2.json,order_ts,0.0,str,4000 unique values
orders_day2.json,store_region,0.0,str,4 unique values
orders_day2.json,status,0.0,str,4 unique values
orders_day2.json,discount_code,25.12,str,3 unique values
order_items_day1.json,order_id,0.0,str,18665 unique values
order_items_day1.json,product_id,0.0,str,810 unique values
order_items_day1.json,quantity,0.0,int64,-3 to 5
order_items_day1.json,unit_price,0.0,float64,5.36 to 499.04
order_items_day1.json,line_total,0.0,float64,-920.9 to 2495.2
order_items_day2.json,order_id,0.0,str,8485 unique values
order_items_day2.json,product_id,0.0,str,802 unique values
order_items_day2.json,quantity,0.0,int64,-1 to 5
order_items_day2.json,unit_price,0.0,float64,5.36 to 499.04
order_items_day2.json,line_total,0.0,float64,-460.61 to 2495.2
order_items_day2.json,discount_code,24.8,str,3 unique values
clickstream_day1.json,event_id,0.0,str,15000 unique values
clickstream_day1.json,session_id,0.0,str,4743 unique values
clickstream_day1.json,event_type,0.0,str,4 unique values
clickstream_day2.json,event_id,0.0,str,15000 unique values
clickstream_day2.json,session_id,0.0,str,4753 unique values
clickstream_day2.json,event_type,0.0,str,4 unique values
